Material,a,b,a/b,a_avg,b_avg,delta a/a_avg,delta b/b_avg
GeS,4.505825,3.688413,1.22161618,4.505825,3.688413,0,0
GeSe,4.384555,3.990392,1.098778015,4.384555,3.990392,0,0
GeTe,4.480666,4.280369,1.04679433,4.480666,4.280369,0,0
SnS,4.375772,4.096544,1.068161846,4.375772,4.096544,0,0
SnSe,4.554256,4.311141,1.056392264,4.554256,4.311141,0,0
SnTe,4.725429,4.600725,1.027105293,4.725429,4.600725,0,0
Ge2SSe,4.468659,3.841682,1.163203774,4.44519,3.8394025,0.005279639,0.000510108
Ge2STe,4.52643,4.032357,1.122527098,4.4932455,3.984391,0.007385419,0.010596872
Ge2SeTe,4.469114,4.140465,1.079374901,4.4326105,4.1353805,0.008235215,0.001137698
GeSnS2,4.490422,3.877954,1.15793586,4.4407985,3.8924785,0.011174454,-0.003234551
GeSnSe2,4.59975,4.108773,1.119494798,4.4694055,4.1507665,0.029163722,-0.009129518
GeSnTe2,4.700005,4.427844,1.061465806,4.6030475,4.440547,0.021063763,-0.002702763
Sn2SSe,4.509064,4.199591,1.073691224,4.465014,4.2038425,0.009865591,-0.000942879
Sn2STe,4.768776,4.334669,1.10014767,4.5506005,4.3486345,0.047944332,-0.002928529
Sn2SeTe,4.700477,4.453892,1.055363938,4.6398425,4.455933,0.013068224,-0.000434211
GeS/SnSe,4.750477,3.935913,1.20695681,4.5300405,3.999777,0.048661044,-0.013443703
GeS/SnTe,5.010289,4.102932,1.221148437,4.615627,4.144569,0.08550561,-0.008310299
GeSe/SnS,4.450496,4.028919,1.104637745,4.3801635,4.043468,0.016057049,-0.003269074
GeSe/SnTe,4.858798,4.237644,1.146580034,4.554992,4.2955585,0.066697373,-0.011919512
GeTe/SnS,4.489182,4.206097,1.067303488,4.428219,4.1884565,0.013766934,0.003929558
GeTe/SnSe,4.538119,4.299784,1.055429529,4.517461,4.295755,0.004572923,0.000887813
